,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,920645654779749874,https://www.airbnb.com/rooms/920645654779749874,20240911015516,2024-09-11,previous scrape,modern appartment in downtown,Amazing modern and quite apparment in the heart of Madrid “letras neighbourhood “ just 7 minutes walk from gran via street and atocha train station  Peaceful and centrally-located,,https://a0.muscache.com/pictures/miso/Hosting-920645654779749874/original/22c7b8bd-7e66-4580-9779-25762bce1d9c.jpeg,17728398,https://www.airbnb.com/users/show/17728398,Raul,2014-07-06,"Madrid, Spain",I am a nice guy living in Madrid. I love meeting people all around world. Hope you enjoy my lovely appartment....i love it!,,,100%,f,https://a0.muscache.com/im/pictures/user/c79e339b-3f1a-40d0-a7ff-7d9cb592ae47.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c79e339b-3f1a-40d0-a7ff-7d9cb592ae47.jpg?aki_policy=profile_x_medium,,1.0,4.0,"['email', 'phone']",t,t,,Cortes,Centro,40.41257238252806,-3.695751184428106,Entire rental unit,Entire home/apt,4,,1 bath,1.0,,"[""Wifi"", ""Washer"", ""Kitchen"", ""TV""]",,120,365,120,120,365,365,120.0,365.0,,t,29,59,89,89,2024-09-11,0,0,0,,,,,,,,,,,t,1,1,0,0,
1,889210192192502279,https://www.airbnb.com/rooms/889210192192502279,20240911015516,2024-09-11,previous scrape,Bonita habitación en Atocha,Break up with your day-to-day life and relax in this oasis of tranquility.,,https://a0.muscache.com/pictures/miso/Hosting-889210192192502279/original/046bc5cc-ccc9-4207-8e48-b53c7ac6cdbd.jpeg,448890645,https://www.airbnb.com/users/show/448890645,Salomé,2022-03-10,,,a few days or more,32%,32%,f,https://a0.muscache.com/im/pictures/user/ab16536d-b203-49f0-b379-58b210f8628a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ab16536d-b203-49f0-b379-58b210f8628a.jpg?aki_policy=profile_x_medium,,49.0,70.0,"['email', 'phone']",t,t,,Palos de Moguer,Arganzuela,40.40384,-3.69168,Private room in rental unit,Private room,1,,1 bath,,,"[""Lock on bedroom door"", ""Washer"", ""Kitchen"", ""Wifi""]",,5,365,5,5,365,365,5.0,365.0,,t,0,0,0,0,2024-09-11,0,0,0,,,,,,,,,,,f,45,5,40,0,
2,40774969,https://www.airbnb.com/rooms/40774969,20240911015516,2024-09-11,previous scrape,Habitacion individual junto al Auditorio Nacional,"Economical, simple and central room, next to Auditorium",,https://a0.muscache.com/pictures/c58cfe93-ed90-4fa1-b574-5d4f09682f39.jpg,316778938,https://www.airbnb.com/users/show/316778938,Amaya,2019-12-12,,,,,,f,https://a0.muscache.com/im/pictures/user/df4e9895-9e30-4f14-8ed2-0c27b08f2d5f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/df4e9895-9e30-4f14-8ed2-0c27b08f2d5f.jpg?aki_policy=profile_x_medium,Prosperidad,1.0,1.0,"['email', 'phone']",t,f,,Prosperidad,Chamartín,40.44342,-3.67434,Private room in rental unit,Private room,2,,1 shared bath,,,"[""Heating"", ""Shampoo"", ""Hangers"", ""Fire extinguisher"", ""Essentials""]",,2,1125,2,2,1125,1125,2.0,1125.0,,,0,0,0,0,2024-09-11,0,0,0,,,,,,,,,,,f,1,0,1,0,
3,19406581,https://www.airbnb.com/rooms/19406581,20240911015516,2024-09-11,previous scrape,Barni,"Flat with two bedrooms, I rent one with 1.35 bed and dressing room. Bathroom and kitchenette to share with tenant.<br />Modern style is located in the middle of Madrid's center, between Malasaña and Chueca.10 minutes from Puerta del Sol.<br />The perfect place for the World Pride.",,https://a0.muscache.com/pictures/bb9c6c4b-410c-487b-b64c-9ae0558e6ced.jpg,136049113,https://www.airbnb.com/users/show/136049113,Eva,2017-06-20,"Madrid, Spain",,,,,f,https://a0.muscache.com/im/pictures/user/a9598634-bcd5-4bf2-8a53-51daa9f2118a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a9598634-bcd5-4bf2-8a53-51daa9f2118a.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,f,,Universidad,Centro,40.42458,-3.70077,Private room in home,Private room,2,,1 shared bath,2.0,,"[""Air conditioning"", ""Hair dryer"", ""Wifi"", ""Hangers"", ""TV"", ""Washer"", ""Essentials"", ""Iron"", ""Kitchen""]",,3,3,3,3,3,3,3.0,3.0,,,0,0,0,0,2024-09-11,0,0,0,,,,,,,,,,,f,1,0,1,0,
4,19495912,https://www.airbnb.com/rooms/19495912,20240911015516,2024-09-11,previous scrape,Leo,A bright bedroom  with a double bed and everything,,https://a0.muscache.com/pictures/409c348f-c8e0-40e0-8cb8-b74cd76cb496.jpg,136874483,https://www.airbnb.com/users/show/136874483,Leonardo,2017-06-25,,,,,,f,https://a0.muscache.com/im/pictures/user/a7fa9c38-e8a7-4ade-9655-8b29c9aa9202.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a7fa9c38-e8a7-4ade-9655-8b29c9aa9202.jpg?aki_policy=profile_x_medium,Aluche,1.0,1.0,"['email', 'phone']",t,f,,Cármenes,Latina,40.3942,-3.74188,Private room in home,Private room,2,,1 shared bath,,,"[""Wifi"", ""Kitchen"", ""TV""]",,1,4,1,4,4,4,1.9,4.0,,,0,0,0,0,2024-09-11,0,0,0,,,,,,,,,,,f,1,0,1,0,
